OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Order,M-2,USA,116908,2019-08-10,Ft,2,40.0,264.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,40.0
Pc Wise,Order,M-2,USA,118056,2019-12-19,Ft,8,40.0,1056.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,40.0
Pc Wise,Order,M-2,USA,118129,2019-12-26,Ft,1,40.0,132.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,40.0
Area Wise,Order,M-2,USA,116908,2019-08-10,Ft,2,36.0,237.6,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,ROUND,36.0
Pc Wise,Order,M-2,USA,118056,2019-12-19,Ft,20,36.0,2376.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,ROUND,36.0
Area Wise,Order,M-2,USA,116908,2019-08-10,Ft,1,80.0,264.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,80.0
Pc Wise,Order,M-2,USA,118056,2019-12-19,Ft,6,80.0,1584.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,80.0
Area Wise,Order,M-2,USA,116908,2019-08-10,Ft,1,20.0,66.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,20.0
Pc Wise,Order,M-2,USA,118056,2019-12-19,Ft,30,20.0,1980.0,HAND TUFTED,TUFTED 60C NZ ALL LOOP,GOLDEN PAISLEY (NZ OPTION 2),MULTI,REC,20.0
Area Wise,Order,M-1,USA,13454,2019-08-10,Ft,25,1.5,121.875,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/CREAM-BYS,REC,1.5
Area Wise,Order,M-1,USA,13477,2019-08-17,Ft,25,1.5,121.875,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/CREAM-BYS,REC,1.5
